Date,Price
06/09/2023,7194.09
07/09/2023,7196.10
08/09/2023,7240.77
11/09/2023,7278.27
12/09/2023,7252.88
13/09/2023,7222.57
14/09/2023,7308.67
15/09/2023,7378.82
18/09/2023,7276.14
19/09/2023,7282.12
20/09/2023,7330.79
21/09/2023,7213.90
22/09/2023,7184.82
25/09/2023,7123.88
26/09/2023,7074.02
27/09/2023,7071.79
28/09/2023,7116.24
29/09/2023,7135.06
02/10/2023,7068.16
03/10/2023,6997.05
04/10/2023,6996.73
05/10/2023,6998.25
06/10/2023,7060.15
09/10/2023,7021.40
10/10/2023,7162.43
11/10/2023,7131.21
12/10/2023,7104.53
13/10/2023,7003.53
16/10/2023,7022.19
17/10/2023,7029.70
18/10/2023,6965.99
19/10/2023,6921.37
20/10/2023,6816.22
23/10/2023,6850.47
24/10/2023,6893.65
25/10/2023,6915.07
26/10/2023,6888.96
27/10/2023,6795.38
30/10/2023,6825.07
31/10/2023,6885.65
01/11/2023,6932.63
02/11/2023,7060.69
03/11/2023,7047.50
06/11/2023,7013.73
07/11/2023,6986.23
08/11/2023,7034.16
09/11/2023,7113.66
10/11/2023,7045.04
13/11/2023,7087.06
14/11/2023,7185.68
15/11/2023,7209.61
16/11/2023,7168.40
17/11/2023,7233.91
20/11/2023,7246.93
21/11/2023,7229.45
22/11/2023,7260.73
23/11/2023,7277.93
24/11/2023,7292.80
27/11/2023,7265.49
28/11/2023,7250.13
29/11/2023,7267.64
30/11/2023,7310.77
01/12/2023,7346.15
04/12/2023,7332.59
05/12/2023,7386.99
06/12/2023,7435.99
07/12/2023,7428.52
08/12/2023,7526.55
11/12/2023,7551.53
12/12/2023,7543.55
13/12/2023,7531.22
14/12/2023,7575.85
15/12/2023,7596.91
18/12/2023,7568.86
19/12/2023,7574.67
20/12/2023,7583.43
21/12/2023,7571.40
22/12/2023,7568.82
27/12/2023,7571.82
28/12/2023,7535.16
29/12/2023,7543.18
02/01/2024,7530.86
03/01/2024,7411.86
04/01/2024,7450.63
05/01/2024,7420.69
08/01/2024,7450.24
09/01/2024,7426.62
10/01/2024,7426.08
11/01/2024,7387.62
12/01/2024,7465.14
15/01/2024,7411.68
16/01/2024,7398.00
17/01/2024,7318.69
18/01/2024,7401.35
19/01/2024,7371.64
22/01/2024,7413.25
23/01/2024,7388.04
24/01/2024,7455.64
25/01/2024,7464.20
26/01/2024,7634.14
29/01/2024,7640.81
30/01/2024,7677.47
31/01/2024,7656.75
01/02/2024,7588.75
02/02/2024,7592.26
05/02/2024,7589.96
06/02/2024,7638.97
07/02/2024,7611.26
08/02/2024,7665.63
09/02/2024,7647.52
12/02/2024,7689.80
13/02/2024,7625.31
14/02/2024,7677.35
15/02/2024,7743.42
16/02/2024,7768.18
19/02/2024,7768.55
20/02/2024,7795.22
21/02/2024,7812.09
22/02/2024,7911.60
23/02/2024,7966.68
26/02/2024,7929.82
27/02/2024,7948.40
28/02/2024,7954.39
29/02/2024,7927.43
01/03/2024,7934.17
04/03/2024,7956.41
05/03/2024,7932.82
06/03/2024,7954.74
07/03/2024,8016.22
08/03/2024,8028.01
11/03/2024,8019.73
12/03/2024,8087.48
13/03/2024,8137.58
14/03/2024,8161.42
15/03/2024,8164.35
18/03/2024,8148.14
19/03/2024,8201.05
20/03/2024,8161.41
21/03/2024,8179.72
22/03/2024,8151.92
25/03/2024,8151.60
26/03/2024,8184.75
27/03/2024,8204.81
28/03/2024,8205.81
02/04/2024,8130.05
03/04/2024,8153.23
04/04/2024,8151.55
05/04/2024,8061.31
08/04/2024,8119.30
09/04/2024,8049.17
10/04/2024,8045.38
11/04/2024,8023.74
12/04/2024,8010.83
15/04/2024,8045.11
16/04/2024,7932.61
17/04/2024,7981.51
18/04/2024,8023.26
19/04/2024,8022.41
22/04/2024,8040.36
23/04/2024,8105.78
24/04/2024,8091.86
25/04/2024,8016.65
26/04/2024,8088.24
29/04/2024,8065.15
30/04/2024,7984.93
02/05/2024,7914.65
03/05/2024,7957.57
06/05/2024,7996.64
07/05/2024,8075.68
08/05/2024,8131.41
09/05/2024,8187.65
10/05/2024,8219.14
13/05/2024,8209.28
14/05/2024,8225.80
15/05/2024,8239.99
16/05/2024,8188.49
17/05/2024,8167.50
20/05/2024,8195.97
21/05/2024,8141.46
22/05/2024,8092.11
23/05/2024,8102.33
24/05/2024,8094.97
27/05/2024,8132.49
28/05/2024,8057.80
29/05/2024,7935.03
30/05/2024,7978.51
31/05/2024,7992.87
03/06/2024,7998.02
04/06/2024,7937.90
05/06/2024,8006.57
06/06/2024,8040.12
07/06/2024,8001.80
10/06/2024,7893.98
11/06/2024,7789.21
12/06/2024,7864.70
13/06/2024,7708.02
14/06/2024,7503.27
17/06/2024,7571.57
18/06/2024,7628.80
19/06/2024,7570.20
20/06/2024,7671.34
21/06/2024,7628.57
24/06/2024,7706.89
25/06/2024,7662.30
26/06/2024,7609.15
27/06/2024,7530.72
28/06/2024,7479.40
01/07/2024,7561.13
02/07/2024,7538.29
03/07/2024,7632.08
04/07/2024,7695.78
05/07/2024,7675.62
08/07/2024,7627.45
09/07/2024,7508.66
10/07/2024,7573.55
11/07/2024,7627.13
12/07/2024,7724.32
15/07/2024,7632.71
16/07/2024,7580.03
17/07/2024,7570.81
18/07/2024,7586.55
19/07/2024,7534.52
22/07/2024,7622.02
23/07/2024,7598.63
24/07/2024,7513.73
25/07/2024,7427.02
26/07/2024,7517.68
29/07/2024,7443.84
30/07/2024,7474.94
31/07/2024,7531.49
01/08/2024,7370.45
02/08/2024,7251.80
05/08/2024,7148.99
06/08/2024,7130.04
07/08/2024,7266.01
08/08/2024,7247.45
09/08/2024,7269.71
12/08/2024,7250.67
13/08/2024,7275.87
14/08/2024,7333.36
15/08/2024,7423.37
16/08/2024,7449.70
19/08/2024,7502.01
20/08/2024,7485.73
21/08/2024,7524.72
22/08/2024,7524.11
23/08/2024,7577.04
26/08/2024,7590.37
27/08/2024,7565.78
28/08/2024,7577.67
29/08/2024,7640.95
30/08/2024,7630.95
02/09/2024,7646.42
03/09/2024,7575.10
04/09/2024,7500.97
05/09/2024,7431.96
06/09/2024,7352.30
09/09/2024,7425.26
10/09/2024,7407.55
11/09/2024,7396.83
12/09/2024,7435.07
13/09/2024,7465.25
16/09/2024,7449.44
17/09/2024,7487.42
18/09/2024,7444.90
19/09/2024,7615.41
20/09/2024,7500.26
23/09/2024,7508.08
24/09/2024,7604.01
25/09/2024,7565.62
26/09/2024,7742.09
27/09/2024,7791.79
30/09/2024,7635.75
01/10/2024,7574.07
02/10/2024,7577.59
03/10/2024,7477.78
04/10/2024,7541.36
07/10/2024,7576.02
08/10/2024,7521.32
09/10/2024,7560.09
10/10/2024,7541.59
11/10/2024,7577.89
14/10/2024,7602.06
15/10/2024,7521.97
16/10/2024,7492.00
17/10/2024,7583.73
18/10/2024,7613.05
21/10/2024,7536.23
22/10/2024,7535.10
23/10/2024,7497.48
24/10/2024,7503.28
25/10/2024,7497.54
28/10/2024,7556.94
29/10/2024,7511.11
30/10/2024,7428.36
31/10/2024,7350.37
01/11/2024,7409.11
04/11/2024,7371.71
05/11/2024,7407.15
06/11/2024,7369.61
07/11/2024,7425.60
08/11/2024,7338.67
11/11/2024,7426.88
12/11/2024,7226.98
13/11/2024,7216.83
14/11/2024,7311.80
15/11/2024,7269.63
18/11/2024,7278.23
19/11/2024,7229.64
20/11/2024,7198.45
21/11/2024,7213.32
22/11/2024,7255.01
25/11/2024,7257.47
26/11/2024,7194.51
27/11/2024,7143.03
28/11/2024,7179.25
29/11/2024,7235.11
02/12/2024,7236.89
03/12/2024,7255.42
04/12/2024,7303.28
05/12/2024,7330.54
06/12/2024,7426.88
09/12/2024,7480.14
10/12/2024,7394.78
11/12/2024,7423.40
12/12/2024,7420.94
13/12/2024,7409.57
16/12/2024,7357.08
17/12/2024,7365.70
18/12/2024,7384.62
19/12/2024,7294.37
20/12/2024,7274.48
23/12/2024,7272.32
24/12/2024,7282.69
27/12/2024,7355.37
30/12/2024,7313.56
31/12/2024,7380.74
02/01/2025,7393.76
03/01/2025,7282.22
06/01/2025,7445.69
07/01/2025,7489.35
08/01/2025,7452.42
09/01/2025,7490.28
10/01/2025,7431.04
13/01/2025,7408.64
14/01/2025,7423.67
15/01/2025,7474.59
16/01/2025,7634.74
17/01/2025,7709.75
20/01/2025,7733.50
21/01/2025,7770.95
22/01/2025,7837.40
23/01/2025,7892.61
24/01/2025,7927.62
27/01/2025,7906.58
28/01/2025,7897.37
29/01/2025,7872.48
30/01/2025,7941.64
31/01/2025,7950.17
03/02/2025,7854.92
04/02/2025,7906.40
05/02/2025,7891.68
06/02/2025,8007.62
07/02/2025,7973.03
10/02/2025,8006.22
11/02/2025,8028.90
12/02/2025,8042.19
13/02/2025,8164.11
14/02/2025,8178.54
17/02/2025,8189.13
18/02/2025,8206.56
19/02/2025,8110.54
20/02/2025,8122.58
21/02/2025,8154.51
24/02/2025,8090.99
25/02/2025,8051.07
26/02/2025,8143.92
27/02/2025,8102.52
28/02/2025,8111.63
03/03/2025,8199.71
04/03/2025,8047.92
05/03/2025,8173.75
06/03/2025,8197.67
07/03/2025,8120.80
10/03/2025,8047.60
11/03/2025,7941.91
12/03/2025,7988.96
13/03/2025,7938.21
14/03/2025,8028.28
17/03/2025,8073.98
18/03/2025,8114.57
19/03/2025,8171.47
20/03/2025,8094.20
21/03/2025,8042.95
24/03/2025,8022.33
25/03/2025,8108.59
26/03/2025,8030.68
27/03/2025,7990.11
28/03/2025,7916.08
31/03/2025,7790.71
01/04/2025,7876.36
02/04/2025,7858.83
03/04/2025,7598.98
04/04/2025,7274.95
07/04/2025,6927.12
08/04/2025,7100.42
09/04/2025,6863.02
10/04/2025,7126.02
11/04/2025,7104.80
14/04/2025,7273.12
15/04/2025,7335.40
16/04/2025,7329.97
17/04/2025,7285.86
22/04/2025,7326.47
23/04/2025,7482.36
24/04/2025,7502.78
25/04/2025,7536.26
28/04/2025,7573.76
29/04/2025,7555.87
30/04/2025,7593.87
02/05/2025,7770.48
05/05/2025,7727.93
06/05/2025,7696.92
07/05/2025,7626.84
08/05/2025,7694.44
09/05/2025,7743.75
12/05/2025,7850.10
13/05/2025,7873.83
14/05/2025,7836.79
15/05/2025,7853.47
16/05/2025,7886.69
19/05/2025,7883.63
20/05/2025,7942.42
21/05/2025,7910.49
22/05/2025,7864.44
23/05/2025,7734.40
26/05/2025,7828.13
27/05/2025,7826.79
28/05/2025,7788.10
29/05/2025,7779.72
30/05/2025,7751.89
02/06/2025,7737.20
03/06/2025,7763.84
04/06/2025,7804.67
05/06/2025,7790.27
06/06/2025,7804.87
09/06/2025,7791.47
10/06/2025,7804.33
11/06/2025,7775.90
12/06/2025,7765.11
13/06/2025,7684.68
16/06/2025,7742.24
17/06/2025,7683.73
18/06/2025,7656.12
19/06/2025,7553.45
20/06/2025,7589.66
23/06/2025,7537.57
24/06/2025,7615.99
25/06/2025,7558.16
26/06/2025,7557.31
27/06/2025,7691.55
30/06/2025,7665.91
01/07/2025,7662.59
02/07/2025,7738.42
03/07/2025,7754.55
04/07/2025,7696.27
07/07/2025,7723.47
08/07/2025,7766.71
09/07/2025,7878.46
10/07/2025,7902.25
11/07/2025,7829.29
14/07/2025,7808.17
15/07/2025,7766.21
16/07/2025,7722.09
17/07/2025,7822.00
18/07/2025,7822.67
21/07/2025,7798.22
22/07/2025,7744.41
23/07/2025,7850.43
24/07/2025,7818.28
25/07/2025,7834.58
28/07/2025,7800.88
29/07/2025,7857.36
30/07/2025,7861.96
31/07/2025,7771.97
01/08/2025,7546.16
04/08/2025,7632.01
05/08/2025,7621.04
06/08/2025,7635.03
07/08/2025,7709.32
08/08/2025,7743.00
11/08/2025,7698.52
12/08/2025,7753.42
13/08/2025,7804.97
14/08/2025,7870.34
15/08/2025,7923.45
18/08/2025,7884.05
19/08/2025,7979.08
20/08/2025,7973.03
21/08/2025,7938.29
22/08/2025,7969.69
25/08/2025,7843.04
26/08/2025,7709.81
27/08/2025,7743.93
28/08/2025,7762.60
29/08/2025,7703.90
01/09/2025,7707.90
02/09/2025,7654.25
03/09/2025,7719.71
04/09/2025,7698.92
05/09/2025,7674.78
08/09/2025,7734.84
09/09/2025,7749.39
10/09/2025,7761.32
11/09/2025,7823.52
12/09/2025,7825.24
15/09/2025,7896.93
16/09/2025,7818.22
17/09/2025,7786.98
18/09/2025,7854.61
19/09/2025,7853.59
22/09/2025,7830.11
23/09/2025,7872.02
24/09/2025,7827.45
25/09/2025,7795.42
26/09/2025,7870.68
29/09/2025,7880.87
30/09/2025,7895.94
01/10/2025,7966.95
02/10/2025,8056.63
03/10/2025,8081.54
06/10/2025,7971.78
07/10/2025,7974.85
08/10/2025,8060.13
09/10/2025,8041.36
10/10/2025,7918.00
13/10/2025,7934.26
14/10/2025,7919.62
15/10/2025,8077.00
16/10/2025,8188.59
17/10/2025,8174.20
20/10/2025,8206.07
21/10/2025,8258.86
22/10/2025,8206.87
23/10/2025,8225.78
24/10/2025,8225.63
27/10/2025,8239.18
28/10/2025,8216.58
29/10/2025,8200.88
30/10/2025,8157.29
31/10/2025,8121.07
03/11/2025,8109.79
04/11/2025,8067.53
05/11/2025,8074.23
06/11/2025,7964.77
07/11/2025,7950.18
10/11/2025,8055.51
11/11/2025,8156.23
12/11/2025,8241.24
13/11/2025,8232.49
14/11/2025,8170.09
17/11/2025,8119.02
18/11/2025,7967.93
19/11/2025,7953.77
20/11/2025,7981.07
21/11/2025,7982.65
24/11/2025,7959.67
25/11/2025,8025.80
26/11/2025,8096.43
27/11/2025,8099.47
28/11/2025,8122.71
01/12/2025,8097.00
02/12/2025,8074.61
03/12/2025,8087.42
04/12/2025,8122.03
05/12/2025,8114.74
08/12/2025,8108.43
09/12/2025,8052.51
10/12/2025,8022.69
11/12/2025,8085.76
12/12/2025,8068.62
15/12/2025,8124.88
16/12/2025,8106.16
17/12/2025,8086.05
18/12/2025,8150.64
19/12/2025,8151.38
22/12/2025,8121.07
23/12/2025,8103.85
24/12/2025,8103.58
29/12/2025,8112.02
30/12/2025,8168.15
31/12/2025,8149.50
02/01/2026,8195.21
05/01/2026,8211.50
06/01/2026,8237.43
07/01/2026,8233.92
08/01/2026,8243.47
09/01/2026,8362.09
12/01/2026,8358.76
13/01/2026,8347.20
14/01/2026,8330.97
15/01/2026,8313.12
16/01/2026,8258.94
19/01/2026,8112.02
20/01/2026,8062.58
21/01/2026,8069.17
22/01/2026,8148.89
23/01/2026,8143.05
26/01/2026,8131.15
27/01/2026,8152.82
28/01/2026,8066.68
29/01/2026,8071.36
30/01/2026,8126.53
02/02/2026,8181.17
03/02/2026,8179.50
04/02/2026,8262.16
05/02/2026,8238.17
06/02/2026,8273.84
09/02/2026,8323.28
10/02/2026,8327.88
11/02/2026,8313.24
12/02/2026,8340.56
13/02/2026,8311.74
16/02/2026,8316.50
17/02/2026,8361.46
18/02/2026,8429.03
19/02/2026,8398.78
20/02/2026,8515.49
23/02/2026,8497.17
24/02/2026,8519.21
25/02/2026,8559.07
26/02/2026,8620.93
27/02/2026,8580.75
02/03/2026,8394.32
03/03/2026,8103.84
04/03/2026,8167.73
05/03/2026,8045.80
06/03/2026,7993.49
09/03/2026,7915.36
10/03/2026,8057.36
11/03/2026,8041.81
12/03/2026,7984.44
13/03/2026,7911.53
16/03/2026,7935.97
17/03/2026,7974.49
18/03/2026,7969.88
19/03/2026,7807.87
20/03/2026,7665.62
23/03/2026,7726.20
24/03/2026,7743.92
25/03/2026,7846.55
26/03/2026,7769.31
27/03/2026,7701.95
30/03/2026,7772.45
31/03/2026,7816.94
